DATE,"ENER_RUC_FRST5,16","ENER_RUC_FRST6,16","ENER_RUC_FRST7,16","ENER_RUC_FRST8,16","ENER_RUC_CHST5,16","ENER_RUC_CHST6,16","ENER_RUC_CHST7,16","ENER_RUC_CHST8,16","ENER_RUC_REF,16"
170410230000404,41114,18461,14813,15086,21698,27768,36518,39575,2541
170411230000077,41118,18464,14816,15089,21699,27769,36523,39580,2541
170412230000761,41121,18467,14819,15091,21700,27770,36526,39584,2541
170413230000410,41125,18471,14821,15094,21703,27774,36532,39591,2541
170414230000099,41129,18475,14824,15097,21706,27778,36537,39596,2541
170415230000769,41131,18476,14825,15097,21706,27778,36537,39596,2541
170416230000434,41133,18476,14825,15097,21706,27778,36537,39596,2541
170417230000114,41134,18477,14825,15097,21706,27778,36537,39596,2541
170418230000793,41137,18479,14827,15099,21709,27780,36544,39605,2541
170419230000463,41140,18482,14829,15101,21712,27785,36551,39614,2541
170420230000148,41144,18486,14831,15104,21715,27791,36560,39625,2541
170421230001059,41147,18488,14833,15107,21718,27794,36566,39631,2541
170422230000493,41149,18488,14833,15107,21718,27794,36566,39631,2541
170423230000193,41150,18489,14833,15107,21718,27794,36566,39631,2541
170424230000862,41153,18490,14835,15109,21719,27796,36569,39634,2541
170425230000533,41156,18492,14836,15111,21723,27799,36576,39642,2541
170426230000196,41159,18493,14838,15113,21726,27802,36584,39650,2541
170427230000868,41163,18495,14839,15116,21729,27807,36592,39659,2541
170428230000534,41166,18497,14841,15118,21732,27812,36598,39664,2541
170429230000220,41168,18498,14841,15118,21732,27813,36600,39665,2541
170430230000887,41169,18498,14841,15118,21732,27813,36600,39665,2541
171001230000789,41862,19004,15371,15490,21769,27867,36658,39725,2714
171002230000425,41865,19006,15373,15490,21771,27869,36661,39727,2714
171003230000053,41869,19007,15374,15492,21772,27870,36664,39729,2714
171004230000696,41873,19010,15376,15493,21775,27873,36667,39733,2714
171005230000363,41876,19011,15377,15494,21776,27876,36668,39736,2714
171006230001050,41879,19013,15378,15495,21778,27879,36669,39741,2714
171007230000680,41881,19013,15378,15495,21778,27879,36669,39741,2714
171008230000311,41883,19013,15379,15495,21778,27879,36669,39741,2714
171009230000943,41885,19015,15379,15495,21780,27883,36669,39744,2714
171010230000633,41888,19016,15380,15496,21781,27885,36670,39747,2714
171011230000302,41891,19018,15381,15497,21782,27887,36672,39749,2714
171012230000979,41895,19020,15382,15498,21783,27888,36674,39751,2714
171013230000640,41899,19022,15384,15499,21784,27890,36676,39752,2714
171014230000286,41901,19022,15384,15499,21785,27890,36677,39752,2714
171015230000925,41903,19022,15384,15499,21785,27891,36678,39752,2714
171016230000583,41908,19025,15386,15500,21786,27892,36679,39754,2714
171017230000209,41912,19027,15388,15502,21787,27893,36682,39755,2714
171018230000883,41916,19029,15389,15503,21789,27894,36684,39757,2714
171019230000074,41920,19032,15391,15504,21790,27895,36686,39758,2714
171020230000677,41924,19034,15392,15507,21791,27898,36689,39761,2714
171021230000321,41926,19034,15392,15507,21791,27898,36689,39761,2714
171022230000911,41928,19035,15393,15507,21791,27898,36689,39761,2714
171023230000501,41930,19036,15393,15508,21794,27902,36695,39767,2714
171024230000151,41933,19038,15394,15510,21796,27905,36698,39770,2714
171025230000784,41937,19041,15396,15512,21798,27907,36701,39772,2714
171026230000380,41940,19043,15397,15514,21799,27910,36704,39776,2714
171027230000189,41943,19045,15398,15516,21801,27913,36708,39780,2714
171028230000734,41945,19046,15398,15516,21801,27913,36708,39780,2714
171029230000876,41947,19046,15398,15516,21802,27913,36708,39780,2714
171030230000412,41949,19046,15399,15516,21803,27915,36710,39782,2714
171031230000973,41951,19046,15399,15516,21805,27918,36713,39786,2714
170612230000835,41309,18588,14945,15202,21744,27834,36627,39691,2579
170613230000462,41316,18594,14952,15206,21744,27834,36627,39691,2580
170614230000084,41323,18600,14959,15211,21744,27834,36627,39691,2582
170615230000646,41332,18607,14967,15217,21744,27834,36627,39691,2584
170616230000320,41338,18613,14974,15222,21744,27834,36627,39691,2586
170617230000930,41341,18614,14975,15222,21744,27834,36627,39691,2587
170618230000529,41343,18615,14977,15223,21744,27834,36627,39691,2588
170619230000191,41353,18623,14988,15230,21744,27834,36627,39691,2590
170620230000852,41363,18630,14999,15237,21744,27834,36627,39691,2592
170621230000507,41373,18638,15010,15245,21744,27834,36627,39691,2594
170622230000191,41383,18646,15022,15252,21744,27834,36627,39691,2595
170623230000792,41393,18655,15031,15259,21744,27834,36627,39691,2597
170624230000413,41396,18656,15031,15260,21744,27834,36627,39691,2599
170625230000027,41399,18657,15032,15261,21744,27834,36627,39691,2600
170626230000617,41409,18665,15042,15267,21744,27834,36627,39691,2602
170627230000232,41420,18673,15051,15274,21744,27834,36627,39691,2604
170628230000851,41429,18680,15063,15279,21744,27834,36627,39691,2605
170629230000435,41438,18686,15070,15283,21744,27834,36627,39691,2607
170630230000551,41445,18691,15076,15286,21744,27834,36627,39691,2609
170801230000987,41634,18829,15219,15384,21744,27834,36627,39691,2659
170802230000620,41641,18835,15225,15388,21744,27834,36627,39691,2660
170803230000232,41648,18841,15231,15393,21744,27834,36627,39691,2662
170804230000858,41655,18846,15236,15397,21744,27834,36627,39691,2663
170805230000448,41657,18847,15237,15397,21744,27834,36627,39691,2665
170806230000055,41659,18848,15237,15397,21744,27834,36627,39691,2666
170807230000647,41666,18854,15243,15402,21744,27834,36627,39691,2668
170808230000239,41671,18859,15247,15405,21744,27834,36627,39691,2669
170809230000814,41676,18863,15250,15407,21744,27834,36627,39691,2671
170810230000396,41680,18867,15253,15409,21744,27834,36627,39691,2672
170811230000976,41684,18871,15257,15411,21744,27834,36627,39691,2673
170812230000551,41686,18872,15257,15411,21744,27834,36627,39691,2674
